Section,Content,Question,Options,Answer,Note
Grammar,（　）に何を入れますか。,1. 私は毎日コーヒー（　）飲みます。,"[""\u304c"", ""\u3092"", ""\u306b"", ""\u3067""]",B,目的語を表す助詞「を」を使います。
Grammar,（　）に何を入れますか。,2. 昨日、公園（　）行きました。,"[""\u304c"", ""\u3092"", ""\u306b"", ""\u3067""]",C,方向・目的地を表す助詞「に」を使います。
Grammar,（　）に何を入れますか。,3. 田中さんは英語（　）話せます。,"[""\u304c"", ""\u3092"", ""\u306b"", ""\u3067""]",A,可能を表す動詞の対象を表す助詞「が」を使います。
Grammar,（　）に何を入れますか。,4. 駅までバス（　）行きます。,"[""\u304c"", ""\u3092"", ""\u306b"", ""\u3067""]",D,手段を表す助詞「で」を使います。
Grammar,（　）に何を入れますか。,5. これは私（　）本です。,"[""\u304c"", ""\u3092"", ""\u306b"", ""\u306e""]",D,所有を表す助詞「の」を使います。
Reading,私は田中です。大学生です。毎朝６時に起きます。７時に朝ごはんを食べます。８時に大学へ行きます。大学で友達と勉強します。昼ごはんは学食で食べます。午後は図書館で本を読みます。５時に家へ帰ります。夜はテレビを見ます。１１時に寝ます。,1. 田中さんは何時に起きますか。,"[""\uff15\u6642"", ""\uff16\u6642"", ""\uff17\u6642"", ""\uff18\u6642""]",B,文章に「毎朝６時に起きます」とあります。
Reading,私は田中です。大学生です。毎朝６時に起きます。７時に朝ごはんを食べます。８時に大学へ行きます。大学で友達と勉強します。昼ごはんは学食で食べます。午後は図書館で本を読みます。５時に家へ帰ります。夜はテレビを見ます。１１時に寝ます。,2. 田中さんはどこで昼ごはんを食べますか。,"[""\u5bb6"", ""\u30ec\u30b9\u30c8\u30e9\u30f3"", ""\u5b66\u98df"", ""\u56f3\u66f8\u9928""]",C,文章に「昼ごはんは学食で食べます」とあります。
Reading,私は田中です。大学生です。毎朝６時に起きます。７時に朝ごはんを食べます。８時に大学へ行きます。大学で友達と勉強します。昼ごはんは学食で食べます。午後は図書館で本を読みます。５時に家へ帰ります。夜はテレビを見ます。１１時に寝ます。,3. 午後、田中さんは何をしますか。,"[""\u52c9\u5f37\u3057\u307e\u3059"", ""\u30c6\u30ec\u30d3\u3092\u898b\u307e\u3059"", ""\u672c\u3092\u8aad\u307f\u307e\u3059"", ""\u5bdd\u307e\u3059""]",C,文章に「午後は図書館で本を読みます」とあります。
Reading,私は田中です。大学生です。毎朝６時に起きます。７時に朝ごはんを食べます。８時に大学へ行きます。大学で友達と勉強します。昼ごはんは学食で食べます。午後は図書館で本を読みます。５時に家へ帰ります。夜はテレビを見ます。１１時に寝ます。,4. 田中さんは何時に寝ますか。,"[""\uff11\uff10\u6642"", ""\uff11\uff11\u6642"", ""\uff11\uff12\u6642"", ""\uff15\u6642""]",B,文章に「１１時に寝ます」とあります。
Reading,私は田中です。大学生です。毎朝６時に起きます。７時に朝ごはんを食べます。８時に大学へ行きます。大学で友達と勉強します。昼ごはんは学食で食べます。午後は図書館で本を読みます。５時に家へ帰ります。夜はテレビを見ます。１１時に寝ます。,5. 田中さんは大学生ですか。,"[""\u306f\u3044\u3001\u5927\u5b66\u751f\u3067\u3059"", ""\u3044\u3044\u3048\u3001\u5927\u5b66\u751f\u3067\u306f\u3042\u308a\u307e\u305b\u3093"", ""\u308f\u304b\u308a\u307e\u305b\u3093"", ""\u663c\u306f\u5927\u5b66\u751f\u3067\u3059""]",A,文章の最初に「大学生です」とあります。
Listening,"A: すみません、トイレはどこですか。
B: あそこです。
A: どうもありがとうございます。",1. トイレはどこですか。,"[""\u3053\u3053"", ""\u305d\u3053"", ""\u3042\u305d\u3053"", ""\u3069\u3053""]",C,Bさんが「あそこです」と答えています。
Listening,"A: すみません、トイレはどこですか。
B: あそこです。
A: どうもありがとうございます。",2. Aさんは何を聞きましたか。,"[""\u99c5\u306e\u5834\u6240"", ""\u30c8\u30a4\u30ec\u306e\u5834\u6240"", ""\u30ec\u30b9\u30c8\u30e9\u30f3\u306e\u5834\u6240"", ""\u56f3\u66f8\u9928\u306e\u5834\u6240""]",B,Aさんは「トイレはどこですか」と聞いています。
Listening,"A: すみません、トイレはどこですか。
B: あそこです。
A: どうもありがとうございます。",3. Aさんは最後に何と言いましたか。,"[""\u3059\u307f\u307e\u305b\u3093"", ""\u3042\u305d\u3053\u3067\u3059"", ""\u3069\u3046\u3082\u3042\u308a\u304c\u3068\u3046\u3054\u3056\u3044\u307e\u3059"", ""\u30c8\u30a4\u30ec\u306f\u3069\u3053\u3067\u3059\u304b""]",C,Aさんは最後に「どうもありがとうございます」と言っています。
Listening,"A: 今日は何曜日ですか。
B: 水曜日です。
A: 明日は？
B: 木曜日です。",4. 今日は何曜日ですか。,"[""\u706b\u66dc\u65e5"", ""\u6c34\u66dc\u65e5"", ""\u6728\u66dc\u65e5"", ""\u91d1\u66dc\u65e5""]",B,Bさんが「水曜日です」と答えています。
Listening,"A: 今日は何曜日ですか。
B: 水曜日です。
A: 明日は？
B: 木曜日です。",5. 明日は何曜日ですか。,"[""\u706b\u66dc\u65e5"", ""\u6c34\u66dc\u65e5"", ""\u6728\u66dc\u65e5"", ""\u91d1\u66dc\u65e5""]",C,Bさんが「木曜日です」と答えています。
Listening,"A: 今日は何曜日ですか。
B: 水曜日です。
A: 明日は？
B: 木曜日です。",6. この会話は何についてですか。,"[""\u5929\u6c17"", ""\u6642\u9593"", ""\u66dc\u65e5"", ""\u98df\u3079\u7269""]",C,会話は「何曜日ですか」から始まっています。
