Section,Content,Question,Options,Answer,Note
Reading,"つぎの メモを よんで、しつもんに 答えて ください。

プール の あんない
月よう日：やすみ
火よう日〜金よう日：９じ〜１７じ
土よう日・日よう日：９じ〜１２じ
りょうきん：おとな ５００えん
こども ２００えん",プールは なんよう日が やすみですか。,"[""\u706b\u3088\u3046\u65e5"", ""\u6c34\u3088\u3046\u65e5"", ""\u6728\u3088\u3046\u65e5"", ""\u6708\u3088\u3046\u65e5""]",D,The sign says '月よう日：やすみ' (Monday: Closed).
Reading,"つぎの メモを よんで、しつもんに 答えて ください。

プール の あんない
月よう日：やすみ
火よう日〜金よう日：９じ〜１７じ
土よう日・日よう日：９じ〜１２じ
りょうきん：おとな ５００えん
こども ２００えん",土よう日は なんじまで あいていますか。,"[""\uff11\uff12\u3058"", ""\uff11\uff15\u3058"", ""\uff11\uff17\u3058"", ""\uff11\uff19\u3058""]",A,Saturday/Sunday is 9 to 12.
Reading,"つぎの メモを よんで、しつもんに 答えて ください。

プール の あんない
月よう日：やすみ
火よう日〜金よう日：９じ〜１７じ
土よう日・日よう日：９じ〜１２じ
りょうきん：おとな ５００えん
こども ２００えん",おとな ２人と こども １人 だと、いくら ですか。,"[""\uff17\uff10\uff10\u3048\u3093"", ""\uff11\uff10\uff10\uff10\u3048\u3093"", ""\uff11\uff12\uff10\uff10\u3048\u3093"", ""\uff11\uff15\uff10\uff10\u3048\u3093""]",C,500*2 + 200 = 1200.
Reading,"つぎの 文章を よんで、しつもんに 答えて ください。

わたしの しゅみは りょうりです。まいあさ、ごはんを つくります。パンと たまごと さいふです。あさは ひまですから、ゆっくり つくります。ばんごはんは おそいですから、つくれません。ですから、ばんごはんは おかあさんが つくります。おかあさんの りょうりは おいしです。わたしも がんばって りょうりを べんきょう します。",わたしの しゅみは なんですか。,"[""\u306d\u308b\u3053\u3068"", ""\u308a\u3087\u3046\u308a"", ""\u307b\u3093\u3092 \u3088\u3080\u3053\u3068"", ""\u3042\u305d\u3076\u3053\u3068""]",B,The text says 'わたしの しゅみは りょうりです'.
Reading,"つぎの 文章を よんで、しつもんに 答えて ください。

わたしの しゅみは りょうりです。まいあさ、ごはんを つくります。パンと たまごと さいふです。あさは ひまですから、ゆっくり つくります。ばんごはんは おそいですから、つくれません。ですから、ばんごはんは おかあさんが つくります。おかあさんの りょうりは おいしです。わたしも がんばって りょうりを べんきょう します。",あさは なを つくりますか。,"[""\u3054\u306f\u3093"", ""\u30d1\u30f3\u3068 \u305f\u307e\u3054"", ""\u3055\u304b\u306a"", ""\u306b\u304f""]",B,The text says 'パンと たまご'.
Reading,"つぎの 文章を よんで、しつもんに 答えて ください。

わたしの しゅみは りょうりです。まいあさ、ごはんを つくります。パンと たまごと さいふです。あさは ひまですから、ゆっくり つくります。ばんごはんは おそいですから、つくれません。ですから、ばんごはんは おかあさんが つくります。おかあさんの りょうりは おいしです。わたしも がんばって りょうりを べんきょう します。",なぜ あさに りょうりを しますか。,"[""\u304a\u3044\u3057\u3044 \u304b\u3089"", ""\u3072\u307e \u3060 \u304b\u3089"", ""\u304a\u305d\u3044 \u304b\u3089"", ""\u305f\u306e\u3044 \u304b\u3089""]",B,The text says 'あさは ひまですから'.
Reading,"つぎの 文章を よんで、しつもんに 答えて ください。

わたしの しゅみは りょうりです。まいあさ、ごはんを つくります。パンと たまごと さいふです。あさは ひまですから、ゆっくり つくります。ばんごはんは おそいですから、つくれません。ですから、ばんごはんは おかあさんが つくります。おかあさんの りょうりは おいしです。わたしも がんばって りょうりを べんきょう します。",ばんごはんは だれが つくりますか。,"[""\u308f\u305f\u3057"", ""\u304a\u304b\u3042\u3055\u3093"", ""\u304a\u3068\u3046\u3055\u3093"", ""\u3068\u3082\u3060\u3061""]",B,The text says 'ばんごはんは おかあさんが つくります'.
Reading,"つぎの 文章を よんで、しつもんに 答えて ください。

わたしの しゅみは りょうりです。まいあさ、ごはんを つくります。パンと たまごと さいふです。あさは ひまですから、ゆっくり つくります。ばんごはんは おそいですから、つくれません。ですから、ばんごはんは おかあさんが つくります。おかあさんの りょうりは おいしです。わたしも がんばって りょうりを べんきょう します。",わたしは これから どう しますか。,"[""\u306d\u307e\u3059"", ""\u308a\u3087\u3046\u308a\u3092 \u3079\u3093\u304d\u3087\u3046 \u3057\u307e\u3059"", ""\u3042\u305d\u3073\u307e\u3059"", ""\u306d\u307e\u3059""]",B,The text says 'りょうりを べんきょう します'.
Listening,"（駅：えき）
女：すみません、きっぷを かいたいんですが。
男：どこまで いきますか。
女：とうきょうまで おねがいします。
男：かしこまりました。いくらでも ありますか。
女：２まい おねがいします。
男：はい、２まい で ４００えんです。
女：はい、４００えん です。
男：ありがとうございました。",女の人（ひと）は きっぷを なんまい かいますか。,"[""\uff11\u307e\u3044"", ""\uff12\u307e\u3044"", ""\uff13\u307e\u3044"", ""\uff14\u307e\u3044""]",B,The woman says '２まい おねがいします'.
Listening,"（駅：えき）
女：すみません、きっぷを かいたいんですが。
男：どこまで いきますか。
女：とうきょうまで おねがいします。
男：かしこまりました。いくらでも ありますか。
女：２まい おねがいします。
男：はい、２まい で ４００えんです。
女：はい、４００えん です。
男：ありがとうございました。",きっぷの ねだんは いくら ですか。,"[""\uff12\uff10\uff10\u3048\u3093"", ""\uff14\uff10\uff10\u3048\u3093"", ""\uff16\uff10\uff10\u3048\u3093"", ""\uff18\uff10\uff10\u3048\u3093""]",A,"2 tickets cost 400 yen, so 1 ticket is 200 yen."
Listening,"（駅：えき）
女：すみません、きっぷを かいたいんですが。
男：どこまで いきますか。
女：とうきょうまで おねがいします。
男：かしこまりました。いくらでも ありますか。
女：２まい おねがいします。
男：はい、２まい で ４００えんです。
女：はい、４００えん です。
男：ありがとうございました。",女の人は どこへ いきますか。,"[""\u304d\u3087\u3046\u3068"", ""\u304a\u304a\u3055\u304b"", ""\u3068\u3046\u304d\u3087\u3046"", ""\u3088\u3053\u306f\u307e""]",C,The woman says 'とうきょうまで'.
